"Story","Title","Result","Date","Stability","Duration (s)"
"Home","As a user I have to be able order product","SUCCESS","2022-05-16T00:32:02.0456261+07:00[Asia/Jakarta]","0.0","61.02"
"Home","As a user I have to be able see detail product","SUCCESS","2022-05-16T00:33:17.3461692+07:00[Asia/Jakarta]","0.0","24.0"
