"Story","Title","Result","Date","Stability","Duration (s)"
"register","As a user I have to be able registration","SUCCESS","2022-05-16T00:35:16.1540273+07:00[Asia/Jakarta]","0.0","14.53"
"register","Fail registration","SUCCESS","2022-05-16T00:35:32.1541173+07:00[Asia/Jakarta]","0.0","13.42"
