"Story","Title","Result","Date","Stability","Duration (s)"
"Home","As a user I have to be able see detail product","SUCCESS","2022-05-16T00:33:17.3461692+07:00[Asia/Jakarta]","0.0","24.0"
"login","As a user I have to be able login","SUCCESS","2022-05-16T00:33:43.9015557+07:00[Asia/Jakarta]","0.0","22.57"
"login","Fail login","SUCCESS","2022-05-16T00:34:07.8047976+07:00[Asia/Jakarta]","0.0","12.77"
"logout","As a user I have to be able logout","SUCCESS","2022-05-16T00:34:21.8769228+07:00[Asia/Jakarta]","0.0","26.32"
"Order","As a user I have to have product","SUCCESS","2022-05-16T00:34:50.2953714+07:00[Asia/Jakarta]","0.0","24.44"
"register","As a user I have to be able registration","SUCCESS","2022-05-16T00:35:16.1540273+07:00[Asia/Jakarta]","0.0","14.53"
"register","Fail registration","SUCCESS","2022-05-16T00:35:32.1541173+07:00[Asia/Jakarta]","0.0","13.42"
